,real,prediction
0,10741.35,10735.3564453125
1,10829.35,10583.5234375
2,11057.85,10650.3837890625
3,11105.35,10859.3115234375
4,11046.1,11021.4501953125
5,10948.3,11041.41015625
6,11023.25,10878.7880859375
7,10797.9,10852.8603515625
8,10844.65,10793.89453125
9,10847.9,10716.9921875
10,10946.2,10631.9931640625
11,11003.05,10808.638671875
12,11035.7,10980.515625
13,10982.8,10914.7392578125
14,11075.9,10796.169921875
15,11003.5,10930.373046875
16,10817.6,10859.28515625
17,10840.65,10661.6220703125
18,10704.8,10655.2314453125
19,11274.2,10556.1591796875
20,11600.2,10841.3759765625
21,11588.2,11264.54296875
22,11440.2,11532.2197265625
23,11571.2,11477.763671875
24,11512.4,11454.6328125
25,11474.45,11502.423828125
