,real,prediction
0,10908.25,10883.681640625
1,10862.55,10760.4755859375
2,11070.3,10757.1904296875
3,11141.75,10883.5654296875
4,11129.65,11013.71484375
5,11021.1,11011.935546875
6,11042.6,10893.3662109375
7,10967.5,11051.6015625
8,10858.75,10944.671875
9,10920.1,10741.4150390625
10,10957.05,10701.5205078125
11,11028.85,10774.1240234375
12,11054.8,10835.3740234375
13,11081.75,10846.587890625
14,11084.45,10844.099609375
15,11052.7,10912.2001953125
16,11000.1,10982.98828125
17,10885.15,10935.9453125
18,10845.2,10845.27734375
19,11381.9,10661.462890625
20,11694.85,10993.3603515625
21,11655.05,11434.431640625
22,11564.95,11589.37109375
23,11610.85,11593.615234375
24,11593.6,11656.8779296875
25,11508.25,11616.98046875
