,real,prediction
0,10718.3,10681.3681640625
1,10637.15,10534.7900390625
2,10756.55,10483.0283203125
3,11049.5,10614.69140625
4,10987.65,10757.0341796875
5,10922.4,10871.189453125
6,10874.8,10917.869140625
7,10772.7,10816.712890625
8,10746.35,10658.8203125
9,10816.0,10685.0830078125
10,10867.45,10744.994140625
11,10889.8,10782.34375
12,11011.65,10731.86328125
13,10964.95,10847.7373046875
14,10945.75,10765.599609375
15,10968.2,10881.0986328125
16,10796.5,10916.0390625
17,10804.85,10721.9423828125
18,10670.25,10784.3994140625
19,10691.0,10675.2392578125
20,11471.35,10635.66015625
21,11539.2,10984.7626953125
22,11416.1,11289.4892578125
23,11466.35,11405.5927734375
24,11499.75,11376.884765625
25,11390.8,11357.2958984375
