,real,prediction
0,10905.3,10924.7509765625
1,10699.6,10843.9306640625
2,11000.3,10607.0224609375
3,11106.55,10867.326171875
4,11101.3,11123.228515625
5,10996.05,11186.4873046875
6,10987.8,10976.8388671875
7,10960.95,11057.9775390625
8,10790.4,11063.08203125
9,10860.95,10801.8232421875
10,10883.8,10739.3427734375
11,10936.7,10785.28125
12,11028.5,10918.84765625
13,11058.3,11063.0126953125
14,10986.8,10897.2548828125
15,10994.85,10973.0400390625
16,11000.1,10964.123046875
17,10872.8,10925.41796875
18,10845.2,10829.9287109375
19,10746.8,10747.916015625
20,11542.7,10680.3974609375
21,11590.7,11109.90234375
22,11564.85,11391.9873046875
23,11469.85,11563.1318359375
24,11556.35,11656.3671875
25,11491.15,11556.609375
