Effective date ,S&P BSE India Government Bond Index (Base value),S&P BSE India Government Bond Index (Real Value),S&P BSE SENSEX (TR) (Base value),S&P BSE SENSEX (TR) (Real Value),S&P BSE 100 (TR) (Base value),S&P BSE 100 (TR) (Real Value),S&P BSE Bharat 22 Index TR (Base value),S&P BSE Bharat 22 Index TR (Real Value),S&P BSE SENSEX 50 TR (Base value),S&P BSE SENSEX 50 TR (Real Value)
07/31/2009,100,75.57,100,15670.31,100,4742.39,100,1817.74,100,4745.46
08/03/2009,99.96,75.539772,101.63,15925.736053,101.65,4820.639435,100.62,1829.009988,101.55,4819.01463
08/04/2009,99.87,75.471759,101.04,15833.281224,101.08,4793.607812,100.08,1819.194192,101.01,4793.389146
08/05/2009,99.82,75.433974,101.51,15906.931681,101.42,4809.731938,100.05,1818.64887,101.44,4813.794624
08/06/2009,99.42,75.131694,99.02,15516.740962,99.04,4696.863056,97.85,1778.65859,99.09,4702.276314
08/07/2009,99.39,75.109023,96.76,15162.591956,96.73,4587.313847,96.5,1754.1191,96.87,4596.927102
08/10/2009,99.35,75.078795,95.8,15012.15698,95.57,4532.302123,95.49,1735.759926,95.96,4553.743416
08/11/2009,99.43,75.139251,96.22,15077.972282,96.27,4565.498853,96,1745.0304,96.59,4583.639814
08/12/2009,99.56,75.237492,95.87,15023.126197,96.08,4556.488312,95.27,1731.760898,96.33,4571.301618
08/13/2009,99.51,75.199707,99.05,15521.442055,99.31,4709.667509,98.83,1796.472442,99.41,4717.461786
08/14/2009,99.49,75.184593,98.37,15414.883947,98.73,4682.161647,99.15,1802.28921,98.79,4688.039934
08/17/2009,99.31,75.048567,94.37,14788.071547,94.67,4489.620613,94.92,1725.398808,94.73,4495.374258
08/18/2009,99.11,74.897427,96.02,15046.631662,96.26,4565.024614,97.1,1765.02554,96.27,4568.454342
08/19/2009,99.13,74.912541,94.58,14820.979198,94.71,4491.517569,96.11,1747.029914,94.78,4497.746988
08/20/2009,99.05,74.852085,95.87,15023.126197,95.98,4551.745922,97.48,1771.932952,96.08,4559.437968
08/21/2009,99.09,74.882313,97.34,15253.479754,97.5,4623.83025,98.63,1792.836962,97.59,4631.094414
08/24/2009,98.67,74.564919,99.82,15642.103442,99.86,4735.750654,100.65,1829.55531,99.97,4744.036362
08/25/2009,98.7,74.58759,100.2,15701.65062,100.21,4752.349019,100.5,1826.8287,100.27,4758.272742
08/26/2009,99,74.8143,100.72,15783.136232,100.81,4780.803359,100.39,1824.829186,100.76,4781.525496
08/27/2009,99.14,74.920098,100.79,15794.105449,100.97,4788.391183,101.19,1839.371106,100.89,4787.694594
08/28/2009,98.67,74.564919,101.71,15938.272301,101.9,4832.49541,101.48,1844.642552,101.78,4829.929188
08/31/2009,98.34,74.315538,100.08,15682.846248,100.72,4776.535208,100.32,1823.556768,100.37,4763.018202
09/01/2009,98.32,74.300424,99.35,15568.452985,99.79,4732.430981,99.34,1805.742916,99.58,4725.529068
09/02/2009,98.58,74.496906,98.82,15485.400342,99.42,4714.884138,98.96,1798.835504,99.24,4709.394504
09/03/2009,98.31,74.292867,98.38,15416.450978,99.13,4701.131207,98.7,1794.10938,98.87,4691.836302
09/04/2009,98.39,74.353323,100.24,15707.918744,100.81,4780.803359,100.6,1828.64644,100.68,4777.729128
09/07/2009,98.88,74.723616,102.33,16035.428223,103.1,4889.40409,102.16,1857.003184,102.85,4880.70561
09/08/2009,98.52,74.451564,103.02,16143.553362,103.47,4906.950933,102.76,1867.909624,103.4,4906.80564
09/09/2009,98.61,74.519577,103.4,16203.10054,103.62,4914.064518,102.23,1858.275602,103.66,4919.143836
09/10/2009,98.51,74.444007,103.63,16239.142253,103.71,4918.332669,102.05,1855.00367,103.84,4927.685664
09/11/2009,98.34,74.315538,103.98,16293.988338,103.82,4923.549298,102.51,1863.365274,104.03,4936.702038
09/14/2009,98.95,74.776515,103.67,16245.410377,103.76,4920.703864,102.41,1861.547534,103.9,4930.53294
09/15/2009,98.96,74.784072,105.21,16486.733151,105.52,5004.169928,103.79,1886.632346,105.53,5007.883938
09/16/2009,99.55,75.229935,106.63,16709.251553,106.88,5068.666432,104.56,1900.628944,106.84,5070.049464
09/17/2009,99.2,74.96544,106.85,16743.726235,106.91,5070.089149,104.68,1902.810232,106.96,5075.744016
09/18/2009,99.61,75.275277,107.04,16773.499824,107.25,5086.213275,105.13,1910.990062,107.2,5087.13312
09/21/2009,99.43,75.139251,,0,,0,,0,,0
09/22/2009,99.36,75.086352,107.98,16920.800738,108.12,5127.472068,106.17,1929.894558,108.04,5126.994984
09/23/2009,99.6,75.26772,106.91,16753.128421,107.08,5078.151212,105.3,1914.08022,107.03,5079.065838
09/24/2009,99.74,75.373518,107.31,16815.809661,107.46,5096.172294,106.02,1927.167948,107.39,5096.149494
09/25/2009,99.75,75.381075,106.74,16726.488894,107.12,5080.048168,105.88,1924.623112,106.97,5076.218562
09/28/2009,99.62,75.282834,,0,,0,,0,,0
09/29/2009,99.73,75.365961,107.77,16887.893087,107.91,5117.513049,106.04,1927.531496,107.89,5119.876794
09/30/2009,99.44,75.146808,109.52,17162.123512,109.46,5191.020094,107.8,1959.52372,109.57,5199.600522
10/01/2009,99.4,75.11658,109.57,17169.958667,109.6,5197.65944,107.8,1959.52372,109.67,5204.345982
10/02/2009,99.45,75.154365,,0,,0,,0,,0
10/05/2009,99.55,75.229935,107.85,16900.429335,107.88,5116.090332,106.96,1944.254704,108.01,5125.571346
10/06/2009,99.42,75.131694,108.44,16992.884164,108.34,5137.905326,108.29,1968.430646,108.65,5155.94229
10/07/2009,99.2,74.96544,107.47,16840.882157,107.89,5116.564571,107.51,1954.252274,107.86,5118.453156
10/08/2009,99.39,75.109023,107.71,16878.490901,108.4,5140.75076,108.45,1971.33903,108.33,5140.756818
